Time,temperature,pressure
2020/6/8 00:00,121.31485,313.82941
2020/6/8 00:01,121.33545,315.29364
2020/6/8 00:02,121.35604,316.75787
2020/6/8 00:03,121.37664,315.31033
2020/6/8 00:04,121.39723,314.08536
2020/6/8 00:05,121.41783,313.75491
2020/6/8 00:06,121.43842,315.87076
2020/6/8 00:07,121.45902,317.24707
2020/6/8 00:08,121.47962,316.27838
2020/6/8 00:09,121.50021,315.30972
2020/6/8 00:10,121.52081,316.66
2020/6/8 00:11,121.5414,318.22198
2020/6/8 00:12,121.562,316.31586
2020/6/8 00:13,121.5826,314.40973
2020/6/8 00:14,121.6032,313.61948
2020/6/8 00:15,121.62379,318.83429
2020/6/8 00:16,121.64439,316.29929
2020/6/8 00:17,121.66499,315.52969
2020/6/8 00:18,121.68558,314.7601
2020/6/8 00:19,121.70618,314.14795
2020/6/8 00:20,121.72677,318.57962
2020/6/8 00:21,121.74737,317.43729
2020/6/8 00:22,121.76797,316.29495
2020/6/8 00:23,121.78856,313.48065
2020/6/8 00:24,121.80916,313.04269
2020/6/8 00:25,121.82975,318.09299
2020/6/8 00:26,121.85035,316.66504
2020/6/8 00:27,121.87094,315.15417
2020/6/8 00:28,121.89154,313.64331
2020/6/8 00:29,121.91214,314.1272
2020/6/8 00:30,121.93273,314.72635
2020/6/8 00:31,121.95333,317.25842
2020/6/8 00:32,121.97392,315.50076
2020/6/8 00:33,121.99452,313.74307
2020/6/8 00:34,122.01511,317.39096
2020/6/8 00:35,122.03571,318.38828
2020/6/8 00:36,122.05631,318.83426
2020/6/8 00:37,122.0769,315.44098
2020/6/8 00:38,122.0975,314.12271
2020/6/8 00:39,122.1181,315.76343
2020/6/8 00:40,122.13869,318.12006
2020/6/8 00:41,122.15929,317.72116
2020/6/8 00:42,122.17989,316.53232
2020/6/8 00:43,122.20049,315.34348
2020/6/8 00:44,122.22108,314.15463
2020/6/8 00:45,122.24168,315.52481
2020/6/8 00:46,122.26397,317.88412
2020/6/8 00:47,122.28698,317.47665
2020/6/8 00:48,122.30998,315.84338
2020/6/8 00:49,122.33298,314.21011
2020/6/8 00:50,122.35599,313.64011
2020/6/8 00:51,122.37899,316.60968
2020/6/8 00:52,122.402,315.48407
2020/6/8 00:53,122.425,314.35843
2020/6/8 00:54,122.44801,315.33765
2020/6/8 00:55,122.47101,317.74945
2020/6/8 00:56,122.49402,318.7977
2020/6/8 00:57,122.51702,316.13815
2020/6/8 00:58,122.54002,314.86813
2020/6/8 00:59,122.56303,313.59811
2020/6/8 01:00,122.58603,312.32809
2020/6/8 01:01,122.60904,311.05804
2020/6/8 01:02,122.63204,314.45383
2020/6/8 01:03,122.65504,318.65878
2020/6/8 01:04,122.67805,318.04779
2020/6/8 01:05,122.70105,316.02383
2020/6/8 01:06,122.72406,315.40225
2020/6/8 01:07,122.70986,317.03223
2020/6/8 01:08,122.6424,315.67786
2020/6/8 01:09,122.57494,316.33722
2020/6/8 01:10,122.50748,318.7977
2020/6/8 01:11,122.44002,314.90643
2020/6/8 01:12,122.37255,314.77701
2020/6/8 01:13,122.30509,316.1601
2020/6/8 01:14,122.23763,319.05881
2020/6/8 01:15,122.17017,318.45016
2020/6/8 01:16,122.10271,317.84149
2020/6/8 01:17,122.03525,315.08139
2020/6/8 01:18,121.96778,314.30087
2020/6/8 01:19,121.90032,313.52036
2020/6/8 01:20,121.83286,314.39307
2020/6/8 01:21,121.7654,319.1972
2020/6/8 01:22,121.69794,318.28055
2020/6/8 01:23,121.63048,317.36389
2020/6/8 01:24,121.57655,314.2709
2020/6/8 01:25,121.58657,314.45749
2020/6/8 01:26,121.5966,315.17749
2020/6/8 01:27,121.60661,318.27097
2020/6/8 01:28,121.61664,316.60172
2020/6/8 01:29,121.62666,314.9325
2020/6/8 01:30,121.63668,313.41431
2020/6/8 01:31,121.64671,317.19757
2020/6/8 01:32,121.65673,318.31012
2020/6/8 01:33,121.66675,317.15036
2020/6/8 01:34,121.67677,315.9906
2020/6/8 01:35,121.6868,314.83084
2020/6/8 01:36,121.69682,313.6767
2020/6/8 01:37,121.70684,313.6767
2020/6/8 01:38,121.71687,319.2066
2020/6/8 01:39,121.72688,316.28888
2020/6/8 01:40,121.73691,315.15125
2020/6/8 01:41,121.74693,314.01358
2020/6/8 01:42,121.75695,316.3161
2020/6/8 01:43,121.76698,318.85925
2020/6/8 01:44,121.77699,317.79425
2020/6/8 01:45,121.78702,316.35764
2020/6/8 01:46,121.79704,314.92105
2020/6/8 01:47,121.80706,316.52481
2020/6/8 01:48,121.81709,318.60452
2020/6/8 01:49,121.82711,318.30096
2020/6/8 01:50,121.83713,317.5321
2020/6/8 01:51,121.84715,316.76328
2020/6/8 01:52,121.85718,314.0972
2020/6/8 01:53,121.8672,313.11313
2020/6/8 01:54,121.87722,317.66284
